#Iteration Current
0	1.94E-13
1	1.96E-13
2	1.93E-13
3	1.93E-13
4	1.88E-13
5	1.88E-13
6	1.95E-13
7	1.87E-13
8	1.89E-13
9	1.94E-13
10	1.88E-13
11	1.91E-13
12	1.97E-13
13	1.92E-13
14	1.92E-13
15	1.97E-13
16	1.92E-13
17	1.90E-13
18	1.90E-13
19	1.90E-13
20	1.93E-13
21	1.90E-13
22	1.94E-13
23	1.91E-13
24	1.94E-13
25	1.95E-13
26	1.90E-13
27	1.92E-13
28	1.88E-13
29	1.87E-13
30	1.89E-13
31	1.87E-13
32	1.86E-13
33	1.88E-13
34	1.88E-13
35	1.92E-13
36	1.94E-13
37	1.96E-13
38	1.88E-13
39	1.90E-13
40	1.93E-13
41	1.89E-13
42	1.94E-13
43	1.89E-13
44	1.90E-13
45	1.91E-13
46	1.98E-13
47	1.96E-13
48	1.88E-13
49	1.88E-13
50	1.94E-13
51	1.96E-13
52	1.85E-13
53	1.89E-13
54	1.93E-13
55	1.95E-13
56	1.91E-13
57	1.87E-13
58	1.89E-13
59	1.93E-13
60	1.91E-13
61	1.84E-13
62	1.96E-13
63	1.97E-13
64	1.89E-13
65	1.92E-13
66	1.89E-13
67	1.85E-13
68	1.84E-13
69	1.90E-13
70	1.94E-13
71	1.90E-13
72	1.93E-13
73	1.90E-13
74	1.86E-13
75	1.88E-13
76	1.91E-13
77	1.84E-13
78	1.83E-13
79	1.90E-13
80	1.96E-13
81	1.89E-13
82	1.92E-13
83	1.88E-13
84	1.95E-13
85	1.95E-13
86	1.86E-13
87	1.85E-13
88	1.89E-13
89	1.95E-13
90	1.94E-13
91	1.88E-13
92	1.91E-13
93	1.93E-13
94	1.95E-13
95	1.92E-13
96	1.94E-13
97	1.92E-13
98	1.93E-13
99	1.94E-13
100	1.87E-13
101	1.92E-13
102	1.86E-13
103	1.92E-13
104	1.86E-13
105	1.90E-13
106	1.93E-13
107	1.98E-13
108	1.94E-13
109	1.91E-13
110	1.93E-13
111	1.93E-13
112	1.92E-13
113	1.95E-13
114	1.90E-13
115	1.91E-13
116	1.91E-13
117	1.98E-13
118	1.90E-13
119	1.88E-13
